Age,Gender,Occupation,Income,Shopping_freq,Paybills_freq,Payrent_freq,Motivation,Knowing_features,Impact
21-25,Male,Student,"Below 10,000 BDT",Mobile Wallet,Mobile Wallet,Cash,Convenience,Very well-informed,Positive impact
21-25,Male,Student,"Below 10,000 BDT",Mobile Wallet,Mobile Wallet,Cash,Convenience,Very well-informed,Positive impact
21-25,Male,Student,"Below 10,000 BDT",Mobile Wallet,Mobile Wallet,Cash,Security,Very well-informed,Positive impact
21-25,Male,Student,"Below 10,000 BDT",Mobile Wallet,Credit card/Debit card,Cash,Other (please specify),Very well-informed,Not sure
21-25,Male,Student,"Below 10,000 BDT",Cash,Mobile Wallet,Cash,Other (please specify),Neutral,Positive impact
21-25,Male,Student,"Below 10,000 BDT",Cash,Cash,Cash,Convenience,Very well-informed,Positive impact
21-25,Male,Student,"Below 10,000 BDT",Mobile Wallet,Cash,Cash,Convenience,Somewhat well-informed,Positive impact
15-20,Female,Student,"Below 10,000 BDT",Cash,Cash,Cash,Security,Very well-informed,Positive impact
21-25,Male,Student,"Below 10,000 BDT",Credit card/Debit card,Credit card/Debit card,Cash,Security,Very well-informed,Positive impact
21-25,Male,Student,"Below 10,000 BDT",Cash,Cash,Cash,Security,Somewhat well-informed,Positive impact
21-25,Female,Student,"10,000-20,000 BDT",Cash,Credit card/Debit card,Mobile Wallet,Security,Very well-informed,Positive impact
21-25,Male,Student,"Below 10,000 BDT",Cash,Credit card/Debit card,Cash,Other (please specify),Neutral,No significant impact
21-25,Male,Student,"Below 10,000 BDT",Cash,Mobile Wallet,Cash,Convenience,Somewhat well-informed,Positive impact
21-25,Male,Student,"Above 50,000 BDT",Cash,Cash,Cash,"Incentives (e.g., discounts, rewards)",Very uninformed,Negative impact
21-25,Female,Student,"Below 10,000 BDT",Mobile Wallet,Mobile Wallet,Mobile Wallet,Convenience,Somewhat well-informed,Positive impact
21-25,Male,Employed,"30,000-40,000 BDT",Credit card/Debit card,Credit card/Debit card,Credit card/Debit card,Convenience,Somewhat well-informed,Negative impact
21-25,Female,Student,"Below 10,000 BDT",Cash,Cash,Cash,Security,Neutral,Not sure
21-25,Male,Unemployed,"20,000-30,000 BDT",Credit card/Debit card,Mobile Wallet,Cash,Convenience,Very well-informed,Positive impact
21-25,Male,Student,"Below 10,000 BDT",Credit card/Debit card,Credit card/Debit card,Credit card/Debit card,Security,Somewhat well-informed,Positive impact
